"year","fips","pop2020","pop2024","state","stateCode","growthSince2020","name","county","slug","landArea","density","rank","densityMi","areaMi"
2024,27047,30896,30347,"Minnesota","MN",-0.0177692905230451,"Freeborn County","Freeborn County","minnesota/freeborn-county",707,42.923620933521924,36,42.923620933521924,707
2024,27119,31076,30099,"Minnesota","MN",-0.03143905264512803,"Polk County","Polk County","minnesota/polk-county",1971,15.270928462709284,37,15.270928462709284,1971
2024,27079,28637,29386,"Minnesota","MN",0.02615497433390379,"Le Sueur County","Le Sueur County","minnesota/le-sueur-county",449,65.44766146993318,38,65.44766146993318,449
2024,27095,26468,27559,"Minnesota","MN",0.04121958591506725,"Mille Lacs County","Mille Lacs County","minnesota/mille-lacs-county",572,48.18006993006993,39,48.18006993006993,572
2024,27153,25294,25801,"Minnesota","MN",0.020044279275717614,"Todd County","Todd County","minnesota/todd-county",945,27.302645502645504,40,27.302645502645504,945
2024,27015,25914,25494,"Minnesota","MN",-0.01620745542949753,"Brown County","Brown County","minnesota/brown-county",611,41.725040916530276,41,41.725040916530276,611
2024,27083,25423,25421,"Minnesota","MN",-0.00007866892184238417,"Lyon County","Lyon County","minnesota/lyon-county",714,35.603641456582636,42,35.603641456582636,714
2024,27093,23437,23454,"Minnesota","MN",0.0007253488074412395,"Meeker County","Meeker County","minnesota/meeker-county",608,38.57565789473684,43,38.57565789473684,608
2024,27057,21397,22301,"Minnesota","MN",0.04224891339907466,"Hubbard County","Hubbard County","minnesota/hubbard-county",926,24.083153347732182,44,24.083153347732182,926
2024,27157,21407,21714,"Minnesota","MN",0.01434110337739991,"Wabasha County","Wabasha County","minnesota/wabasha-county",523,41.51816443594646,45,41.51816443594646,523
2024,27045,21243,21590,"Minnesota","MN",0.016334792637574758,"Fillmore County","Fillmore County","minnesota/fillmore-county",861,25.07549361207898,46,25.07549361207898,861
2024,27105,22205,21496,"Minnesota","MN",-0.03192974555280337,"Nobles County","Nobles County","minnesota/nobles-county",715,30.064335664335665,47,30.064335664335665,715
2024,27039,20889,21184,"Minnesota","MN",0.014122265307099369,"Dodge County","Dodge County","minnesota/dodge-county",439,48.25512528473804,48,48.25512528473804,439
2024,27091,19987,19658,"Minnesota","MN",-0.016460699454645566,"Martin County","Martin County","minnesota/martin-county",712,27.609550561797754,49,27.609550561797754,712
2024,27161,18963,19048,"Minnesota","MN",0.0044824131202869655,"Waseca County","Waseca County","minnesota/waseca-county",423,45.0307328605201,50,45.0307328605201,423
2024,27055,18849,18437,"Minnesota","MN",-0.021857923497267784,"Houston County","Houston County","minnesota/houston-county",552,33.40036231884058,51,33.40036231884058,552
2024,27065,16053,16755,"Minnesota","MN",0.04373014389833685,"Kanabec County","Kanabec County","minnesota/kanabec-county",522,32.09770114942529,52,32.09770114942529,522
2024,27001,15722,16062,"Minnesota","MN",0.021625747360386693,"Aitkin County","Aitkin County","minnesota/aitkin-county",1821,8.820428336079077,53,8.820428336079077,1821
2024,27143,14793,15240,"Minnesota","MN",0.03021699452443727,"Sibley County","Sibley County","minnesota/sibley-county",589,25.874363327674025,54,25.874363327674025,589
2024,27127,15418,15218,"Minnesota","MN",-0.012971851083149577,"Redwood County","Redwood County","minnesota/redwood-county",879,17.312855517633675,55,17.312855517633675,879
2024,27135,15303,15170,"Minnesota","MN",-0.008691106319022368,"Roseau County","Roseau County","minnesota/roseau-county",1672,9.072966507177034,56,9.072966507177034,1672
2024,27159,14117,14246,"Minnesota","MN",0.009137918821279234,"Wadena County","Wadena County","minnesota/wadena-county",536,26.578358208955223,57,26.578358208955223,536
2024,27129,14694,14223,"Minnesota","MN",-0.03205389955083704,"Renville County","Renville County","minnesota/renville-county",983,14.468972533062056,58,14.468972533062056,983
2024,27043,13898,13816,"Minnesota","MN",-0.005900129515038155,"Faribault County","Faribault County","minnesota/faribault-county",712,19.40449438202247,59,19.40449438202247,712
2024,27113,13943,13612,"Minnesota","MN",-0.02373951086566739,"Pennington County","Pennington County","minnesota/pennington-county",617,22.06158833063209,60,22.06158833063209,617
2024,27023,12608,12075,"Minnesota","MN",-0.0422747461928934,"Chippewa County","Chippewa County","minnesota/chippewa-county",581,20.783132530120483,61,20.783132530120483,581
2024,27071,12031,11654,"Minnesota","MN",-0.03133571606682739,"Koochiching County","Koochiching County","minnesota/koochiching-county",3105,3.7533011272141708,62,3.7533011272141708,3105
2024,27121,11325,11380,"Minnesota","MN",0.004856512141280245,"Pope County","Pope County","minnesota/pope-county",675,16.85925925925926,63,16.85925925925926,675
2024,27033,11516,11256,"Minnesota","MN",-0.022577283779089963,"Cottonwood County","Cottonwood County","minnesota/cottonwood-county",640,17.5875,64,17.5875,640
